City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,kruisfontein,-34.0033,24.7314,54.88,87,0,3.91,ZA,2023-03-31 20:42:04
69,isangel,-19.55,169.2667,79.95,71,100,3.47,VU,2023-03-31 20:42:55
70,ixtapa,20.7,-105.2,78.03,47,40,12.66,MX,2023-03-31 20:42:48
71,goba,7.0167,39.9833,50.05,88,98,4.43,ET,2023-03-31 20:50:38
72,ostrovnoy,68.0531,39.5131,12.83,91,92,7.05,RU,2023-03-31 20:42:00
73,treinta y tres,-33.2333,-54.3833,63.5,49,2,18.37,UY,2023-03-31 20:50:39
74,guanare,9.0418,-69.7421,107.62,37,87,3.44,VE,2023-03-31 20:50:39
75,yingkou,40.6648,122.2283,45.79,60,5,7.16,CN,2023-03-31 20:50:39
76,leningradskiy,69.3833,178.4167,3.63,87,30,7.87,RU,2023-03-31 20:42:00
77,souillac,-20.5167,57.5167,79.18,89,75,10.36,MU,2023-03-31 20:42:19
78,saulkrasti,57.2622,24.4147,39.9,99,100,7.34,LV,2023-03-31 20:50:39
79,albany,42.6001,-73.9662,45.18,90,100,11.03,US,2023-03-31 20:41:54
80,bathsheba,13.2167,-59.5167,83.01,65,40,21.85,BB,2023-03-31 20:41:56
81,tongliao,43.6125,122.2653,53.13,31,86,12.57,CN,2023-03-31 20:50:39
82,hithadhoo,-0.6,73.0833,82.22,74,30,5.37,MV,2023-03-31 20:41:59
83,itaberaba,-12.5275,-40.3069,82.18,53,74,7.31,BR,2023-03-31 20:50:39
84,hualmay,-11.0964,-77.6139,78.73,76,100,10.74,PE,2023-03-31 20:42:10
85,cape town,-33.9258,18.4232,64.89,83,0,16.11,ZA,2023-03-31 20:38:46
86,ilulissat,69.2167,-51.1,-12.24,92,1,2.64,GL,2023-03-31 20:41:58
87,iqaluit,63.7506,-68.5145,15.53,79,75,10.36,CA,2023-03-31 20:41:55
88,aurillac,44.9167,2.45,45.48,83,100,8.05,FR,2023-03-31 20:50:40
89,yei,4.095,30.6779,68.43,79,100,4.63,SS,2023-03-31 20:50:40
90,andenes,69.3143,16.1194,33.78,80,75,18.41,NO,2023-03-31 20:50:40
91,sistranda,63.7256,8.834,30.16,65,10,22.93,NO,2023-03-31 20:50:40
92,georgetown,5.4112,100.3354,82.35,83,20,2.3,MY,2023-03-31 20:37:13
93,malangwa,26.8568,85.5581,71.24,60,100,1.5,NP,2023-03-31 20:50:40
94,arman,59.7,150.1667,28.02,97,100,3.6,RU,2023-03-31 20:50:40
95,severo-kurilsk,50.6789,156.125,32.38,76,9,8.99,RU,2023-03-31 20:41:56
96,marawi,7.9986,124.2928,68.13,95,98,0.98,PH,2023-03-31 20:50:40
97,bengkulu,-3.8004,102.2655,74.46,89,74,3.8,ID,2023-03-31 20:41:55
98,troitskoye,52.9821,84.6757,13.6,88,11,5.26,RU,2023-03-31 20:50:40
99,ahipara,-35.1667,173.1667,66.15,94,100,9.73,NZ,2023-03-31 20:42:37
100,new norfolk,-42.7826,147.0587,46.92,71,49,3.09,AU,2023-03-31 20:42:01
101,coquimbo,-29.9533,-71.3436,69.53,73,20,11.5,CL,2023-03-31 20:41:57
102,kautokeino,69.0125,23.0412,17.2,79,15,11.74,NO,2023-03-31 20:42:27
103,bredasdorp,-34.5322,20.0403,62.01,83,60,3.47,ZA,2023-03-31 20:41:56
